,content,type
29, care thy soul thing greatest price made end taste power divine devoid guilt abhorring sin vice apt god grace virtue incline care thy retchless train brought taste eternal pain care thy corse chiefly soul sake cut excess sustaining food best vanquish pride comely clothing take seek skill deep ignorance detest care say flesh feed clothe thou harm thy soul body care world thy body right rack thy wit win thy wicked way seek oppress weak wrongful might pay thy due banish delay care dispend according thy store like sort mindful poor care thy soul thy chiefest stay care thy body thy soul avail care world body help alway care yet virtue may prevail care sort thou sure care keep thee heaven heavenly bliss,Nature
30, doubt future foe exile present joy wit warns shun snare threaten mine annoy falsehood doth flow subject faith doth ebb reason ruled wisdom weaved web cloud joy untried cloak aspiring mind turn rain late repent changed course wind top hope supposed root upreared shall fruitless grafted guile shortly ye shall see dazzled eye pride great ambition blind shall unsealed worthy wight whose foresight falsehood find daughter debate discord aye doth sow shall reap gain former rule still peace hath taught know foreign banished wight shall anchor port realm brook seditious sect let elsewhere resort rusty sword rest shall first edge employ poll top seek change gape future joy,Nature
31, fie pleasure fie thou cloyest delight thou fillst mouth sweetmeat overmuch wallow still joy day night deem dream taste touch thing smell perfect bliss fie pleasure fie can not like taste sometimes bait bitter gall drink draught sour ale season eat brown bread homely hand hall doth much increase men appetite reason make sweet sugard ensues since mind men still seek news pamperd horse seldom seen breath whose manger make grace oftimes melt crammed fowl come quickly death cold catch hottest hap swelt much like pleasure scawled still fear starve although feed fill might suffice love hath built bower lady lively shining eye enough beauty fading flower grows ever fresh heavenly wise well fair face yet rob dame grace muse mind wise fair good brave frank courteous true lady doth inflame blood humour bid health adieu since hap always clomb high doth fall full low though erst reachd sky lo pleasure lo lo thus lead life laugh joy trembleth oft dread thy pang call change knife cut twist else stretch thread hold yfeer bundle bliss fie pleasure fie dare trust,Nature
32, green groweth holly doth ivy though winter blast blow never high green groweth holly holly groweth green never changeth hue ever hath unto lady true holly groweth green ivy alone flower can not seen greenwood leaf gone unto lady promise make betake adieu mine lady adieu special hath heart truly sure ever shall,Nature
33, luck fair falcon fellow well pleasant liberty ye forsake fair might ye befall sometime liked company like louse away dead body crawl lo proof light adversity ye bird swear bell ye friend else,Nature
34, world love young truth every shepherd tongue pretty pleasure might move live thee thy love time drive flock field fold river rage rock grow cold philomel becometh dumb rest complains care come flower fade wanton field wayward winter reckoning yield honey tongue heart gall fancy spring sorrow fall thy gown thy shoe thy bed rose thy cap thy kirtle thy posy soon break soon wither soon forgotten folly ripe reason rotten thy belt straw ivy bud coral clasp amber stud mean move come thee thy love could youth last love still breed joy date age need delight mind might move live thee thy love,Nature
35, gut eats day lecher night meat tasteth twice striving double delight make thoroughfare vice thus belly change sin lust come gluttony went,Nature
36, praisd diana fair harmless light praisd dew wherewith moists ground praisd beam glory night praisd power power abound praisd nymph deck wood praisd knight true honour life praisd force move flood let diana shine give heaven queen among sphere aye mistresslike make thing pure eternity oft change bear beauty fair endure time wear doth chariot guide mortality orb placd virtue star slide virtue perfect image cast knowledge pure worth know circe let dwell think,Nature
37, silver swan living note death approached unlocked silent throat leaning breast reedy shore thus sung first last sung farewell joy oh death come close mine eye goose swan live fool wise,Nature
38, blow blow thou winter wind thou art unkind man ingratitude thy tooth keen thou art seen although thy breath rude heighho sing heighho unto green holly friendship feigning loving mere folly heighho holly life jolly freeze freeze thou bitter sky dost bite nigh benefit forgot though thou water warp thy sting sharp friend remembered heighho sing heighho unto green holly,Nature
39, daisy pied violet blue ladysmocks silverwhite cuckoobuds yellow hue paint meadow delight cuckoo every tree mock married men thus sings cuckoo cuckoo cuckoo word fear unpleasing married ear shepherd pipe oaten straw merry lark ploughman clock turtle tread rook daw maiden bleach summer smock cuckoo every tree mock married men thus sings cuckoo cuckoo cuckoo word fear unpleasing married ear icicle hang wall dick shepherd blow nail tom bear log hall milk come frozen home pail blood nippd way foul nightly sings staringowl tuwho tuwhit tuwhoa merry note greasy joan doth keel pot aloud wind doth blow coughing drowns parson saw bird sit brooding snow marians nose look red raw roasted crab hiss bowl nightly sings staring owl tuwho tuwhit tuwhoa merry note greasy joan doth keel pot,Nature
40, little tiny boy hey ho wind rain foolish thing toy rain raineth every day came man estate hey ho wind rain gainst knave thief men shut gate rain raineth every day came ala wive hey ho wind rain swaggering could never thrive rain raineth every day came unto bed hey ho wind rain tosspots still drunken head rain raineth every day great ago world begun hey ho wind rain thats one play done well strive please every day,Nature
41, fairest creature desire increase thereby beauty rose might never die riper time decease tender heir might bear memory thou contracted thine bright eye feedst thy light flame selfsubstantial fuel making famine abundance lie thyself thy foe thy sweet self cruel though art world fresh ornament herald gaudy spring within thine bud buriest thy content tender churl makst waste niggarding pity world else glutton eat world due grave thee,Nature
42, shall compare thee summer day thou art lovely temperate rough wind shake darling bud may summer lease hath short date sometime hot eye heaven shine often gold complexion dimmd every fair fair sometime decline chance nature changing course untrimmd thy eternal summer shall fade lose possession fair thou owst shall death brag thou wanderst shade eternal line time thou growst long men breathe eye see long life give life thee,Nature
43, spring sweet spring year pleasant king bloom thing maid dance ring cold doth sting pretty bird sing cuckoo jugjug puwe towittawoo palm may make country house gay lamb frisk play shepherd pipe day hear aye bird tune merry lay cuckoo jugjug puwe towittawoo field breathe sweet daisy kiss foot young lover meet old wife asunning sit every street tune ear greet cuckoo jugjug puwe wittawoo spring sweet spring,Nature
44, fair young favor graced many sought mistress scorn answered therefore go go go seek importune many weeping eye made pine woe many sighing heart skill show prouder grew still spake therefore go go go seek importune spake fair venus son proud victorious boy saying dainty dame coy pluck plume shall say go go go seek importune soon said change grew breast neither night day could take rest wherefore repent said go go go seek importune,Nature
45, crooked leg bleared eye part deformed kind yet ugly half inward suspicious mind,Nature
46, twice thrice lovd thee knew thy face name voice shapeless flame angel affect u oft worshippd still thou wert came lovely glorious nothing see since soul whose child love take limb flesh else could nothing subtle parent love must take body therefore thou wert bid love ask assume thy body allow fix thy lip eye brow whilst thus ballast love thought steadily gone ware would sink admiration saw love pinnace overfraught evry thy hair love work upon much much fitter must sought nothing thing extreme scattring bright love inhere angel face wing air pure yet pure doth wear thy love may love sphere disparity twixt air angel purity twixt woman love men ever,Nature
47, sad step moon thou climbst sky silently wan face may even heavnly place busy archer sharp arrow try sure longwith loveacquainted eye judge love thou feelst lover case read thy look thy languishd grace feel like thy state descries evn fellowship moon tell constant love deemd want wit beauty proud love lovd yet lover scorn love doth posse call virtue ungratefulness,Nature
48, nature made chief work stella eye colour black wrapt beam bright would beamy black like painter wise frame daintiest lustre mixd shade light else sober hue devise object best knit strength sight lest veil brave gleam disguise sunlike dazzle delight would miraculous power show whereas black seems beauty contrary even black doth make beauty flow thus minding love placd ever gave mourning weed honour death bleed,Nature
49, come live love new pleasure prove golden sand crystal brook silken line silver hook river whispering run warmd thy eye sun enamourd fish stay begging may betray thou wilt swim live bath fish every channel hath amorously thee swim gladder catch thee thou thou seen best loth sun moon thou darknest leave see need light thee let others freeze angling reed cut leg shell weed treacherously poor fish beset strangling snare windowy net let coarse bold hand slimy nest bedded fish bank outwrest curious traitor sleevesilk fly bewitch poor fish wandring eye thee thou needst deceit thou thyself art thine bait fish catchd thereby ala wiser far,Nature
50, storm past storm tyrannous rage stupid calm nothing doth suage fable inverted far block afflicts stork storm chafe soon wear u calm heaven laugh see u languish thus steadyas wish thought smooth thy mistress glass shine sea isle seek move ship rooted water storm pitch run lead fird church becomes one spout beauty trim decay like court removing like ended play fightingplace seaman rag supply tackling frippery use lanthorns one place lay feather dust today yesterday earth hollowness world lung wind upper vault air lost friend sought foe recover meteorlike save move hover calenture together draw dear friend meet dead great fish jaw hatch altar lie one priest sacrifice live miracle multiply walker hot oven die despite swim hath refreshing brimstone bath sea ship turn like parboild wretch coal burn like bajazet encagd shepherd scoff like slacksinewd samson hair languish ship myriad ant durst th emperor lovd snake invade crawling gallies seagaols finny chip might brave pinnace bedrid ship whether rotten state hope gain disuse queasy pain belovd loving thirst honour fair death outpushd first lose end well desperate may live coward die stag dog towards fly paid life prey dy fate grudge u doth subtly lay scourge gainst forget pray sea prays wind well pole may beg cold heat hell little ala man nothing u nothing fit chance still disproportion power sense lie thus feel misery,Nature
51, like pillow bed pregnant bank swelld rest violet reclining head sat two one anothers best hand firmly cemented fast balm thence spring eyebeams twisted thread eye upon one double string tointergraft hand yet mean make u one picture eye get propagation twixt two equal army fate suspends uncertain victory soul advance state gone hung twixt whilst soul negotiate like sepulchral statue lay day posture said nothing day love refind soul language understood good love grown mind within convenient distance stood though knew soul spake meant spake might thence new concoction take part far purer came ecstasy doth unperplex said tell u love see sex see saw move several soul contain mixture thing know love mixd soul doth mix make one single violet transplant strength colour size poor scant redoubles still multiplies love one another interinanimates two soul abler soul thence doth flow defect loneliness control new soul know composd made th atomies grow soul change invade oh ala long far body forbear theyare though theyare intelligence sphere owe thanks thus u u first convey yielded sens force u dross u allay man heaven influence work first imprint air soul soul may flow though body first repair blood labor beget spirit like soul finger need knit subtle knot make u man must pure lover soul descend affection faculty sense may reach apprehend else great prince prison lie toour body turn weak men love reveald may look love mystery soul grow yet body book lover heard dialogue one let still mark u shall see small change weare body gone,Nature
52, spring summer beauty hath grace seen one autumnal face young beauty force love thats rape doth counsel yet can not scape twere shame love twere shame affection take reverence name first year golden age thats true shes gold oft tried ever new torrid inflaming time tolerable tropic clime fair eye asks heat come hence fever wish pestilence call wrinkle graf graf love graf else yet lie love dead doth sit vowd trench like anachorit till must death come doth dig grave build tomb dwells though sojourn evrywhere progress yet standing house still evening noon night voluptuousness yet delight word unto hearer fit may revel council sit love timber youth underwood wine june enrages blood come seasonabliest taste appetite thing past xerxes strange lydian love platan tree lovd age none large else young nature bless youth age glory barrenness love thing long sought age thing fifty year compassing transitory thing soon decay age must loveliest latest day name winter face whose skin slack lank unthrifts purse soul sack whose eye seek light within here shade whose mouth hole rather worn made whose every tooth several place gone vex soul resurrection name living deathsheads unto ancient antique hate extreme yet rather stay tomb cradle wear day since love natural lation may still love descend journey hill panting growing beauty shall ebb homeward go,Nature
53, take picture though bid farewell thine heart soul dwells shall dwell ti like dead twill shadow twas weatherbeaten come back hand perhaps rude oar torn sun beam tannd face breast haircloth head care rash sudden storm oerspread bodya sack bone broken within powder blue stain scatterd skin rival fool tax thee tohave lovd man foul coarse oh may seem shall say thou shalt say hurt reach doth worth decay reach judging mind love le love see fair delicate milk love childish state nurse grown strong enough feed disusd taste seems tough,Nature
54, thou hast made shall thy work decay repair mine end doth haste run death death meet fast pleasure like yesterday dare move dim eye way despair behind death doth cast terror feebled flesh doth waste sin towards hell doth weigh thou art towards thee thy leave look rise old subtle foe tempteth one hour sustain thy grace may wing prevent art thou like adamant draw mine iron heart,Nature
55, since coming holy room thy choir saint evermore shall made thy music come tune instrument door must think whilst physician love grown cosmographer map lie flat bed may shown southwest discovery per fretum febris strait die joy strait see west though current yield return none shall west hurt west east flat map one one death doth touch resurrection pacific sea home eastern rich jerusalem anyan magellan gibraltar strait none strait way whether japhet dwelt cham shem think paradise calvary christ cross adam tree stood one place look lord find adam met first adam sweat surround face may last adam blood soul embrace purple wrappd receive lord thorn give crown others soul preachd thy word text sermon mine therefore may raise lord throw,Nature
56, galley charged forgetfulness thorough sharp sea winter night doth pas tween rock rock eke mine enmy ala lord steereth cruelness every owre thought readiness though death light case endless wind doth tear sail apace forced sigh trusty fearfulness rain tear cloud dark disdain hath done weared cord great hinderance wreathed error eke ignorance star hid led pain drowned reason comfort remain despairing port,Nature
57, mother maid sew spin sang sometime song field mouse livelood thin would need go seek townish sister house thought endured much pain stormy blast cave sore souse furrow swimmed rain must lie cold wet sorry plight worse bare meat remain comfort house dight sometime barley corn sometime bean laboured hard day night harvest time whilst might go glean store stroyed flood well away undone clean fain take instead food sleep might hunger beguile sister quod hath living good hence dwelleth mile cold storm lieth warm dry bed dirt doth defile tender foot laboureth richly feedeth richmans cost meat need crave cry sea land delicates cater seek spareth peril feedeth boiled bacon meet roast hath thereof neither charge travail list liquor grape doth glad heart till belly swell journey maketh jape forth goeth trusting wealth sister part shape might keep health live lady life doth last door come stealth foot anon scrapeth full fast th fear durst well scarce appear every noise wretch aghast last asked softly language well could peep quod sister peace quod towny mouse speakest thou loud hand took fair well welcome quod sister rood feasted joy tell fare drank wine clear purpose fell cheered sister cheer amids joy befell sorry chance well away stranger bought full dear fare look askance stool spied two steaming eye round head sharp ear france never mouse feard unwise iseen beast yet nature taught guise know foe dread evermore towny mouse fled know whither go th shift wonder sore feard life home wished tho door ala skip heaven would lo eke chance threshold silly foot trip ere might recover traitor cat caught hip made remain forgotten poor surety rest seeming wealth wherein thought reign ala poynz men seek best find worst error stray marvail sight opprest blind guide anon way goeth guide seeking quiet life wretched mind gold may grant ye seek war peace strife although thy head hooped gold sergeant mace hawbert sword knife can not repulse care follow kind life hath disease live delight even thy lust would thou shalt find lust doth thee please irketh straight doth fade small thing may thy mind appease none ye mad seek grape upon bramble breres none trow hath wit bad set hay cony river ne ye set dragnet hare yet thing desire ye misseek travail care make plain thine heart knotted hope dread see thy bare affect vice hath ever spotted thyself content thee assigned use well thee allotted seek thyself find thing thou hast sought long thou shalt feel sitting thy mind mad ye list continue sore let present pas gape time come deep travail henceforth poynz shall wretched fool shall nought else great god high doom none pain pray rage doth lead right looking backward virtue may see even goodly fair bright whilst clasp lust arm across grant good lord thou mayst thy might fret inward losing loss,Nature
58, forget rotten world unto thee let thine time old story concernd study much believe man though err worst try truth forth far business world worth ihe world carcass thou art fed worm carcass bred shouldst thou poor worm consider world grow better thy fellowworms think upon carcass last resurrection forget world scarce think old clothes cast year ago thus stupid alacrity men thus lethargic best memory look upward thats towards whose happy state lament congratulate world stage sat hearkning youthful age employd figure golden time hid could lack whater world could give form made live could complain world unfit stayd first tried indifferent desire virtue virtue religious fire whose person paradise adherd court prince whose eye enspherd starlight enough made south control starfull northern pole gone gone thou knowest fragmentary rubbish world thou knowest worth thought honour much think nought think soul death groom brings taper outward room whence thou spiest first little glimmering light brings nearer thy sight approach doth heaven make death think thyself labouring broken breath think broken soft note division thy happiest harmony think thee laid thy deathbed loose slack think unbinding pack take one precious thing thy soul thence think thyself parchd fever violence anger thine ague calling thy physic chide slackness fit think thou hearst thy knell think bell calld thee church triumphant church call thee think satan sergeant round thee think legacy thrust give one thy pride toanother give thy lust give sin gave thee trust th immaculate blood wash thy score think thy friend weeping round think weep go yet thy way think close thine eye think confess much world amiss dare trust dead man eye god angel cover think shroud thee think thence reinvest thee white innocence think thy body rot low thy soul exalted thy thought go think thee prince create worm insensibly devour state think bury thee think rite lay thee sleep saint lucy night,Nature
59, come live love pleasure prove valley grove hill field wood steepy mountain yield sit upon rock seeing shepherd feed flock shallow river whose fall melodious bird sing madrigal make thee bed rose thousand fragrant posy cap flower kirtle embroidered leaf myrtle gown made finest wool pretty lamb pull fair lined slipper cold buckle purest gold belt straw ivy bud coral clasp amber stud pleasure may thee move come live love shepherd swain shall dance sing thy delight maymorning delight thy mind may move live love,Nature
60, calm day trembling air sweet breathing zephyrus softly play gentle spirit lightly delay hot titan beam glister fair whose sullen care discontent long fruitless stay prince court expectation vain idle hope still fly away like empty shadow afflict brain walked forth ease pain along shore silver streaming thames whose rutty bank river hem painted variable flower mead adorned dainty gem fit deck maiden bower crown paramour bridal day long sweet thames run softly till end song meadow river side flock nymph chanced espy lovely daughter flood thereby goodly greenish lock loose untied bride one little wicker basket made fine twig entrailed curiously gathered flower fill flasket fine finger cropt full featously tender stalk high every sort meadow grew gathered violet pallid blue little daisy evening close virgin lily primrose true store vermeil rose deck bridegroom posy bridal day long sweet thames run softly till end song saw two swan goodly hue come softly swimming along lee two fairer bird yet never see snow doth top pindus strew never whiter shew jove swan would love leda whiter appear yet leda say white yet white nothing near purely white even gentle stream bare seemed foul bade billow spare wet silken feather lest might soil fair plume water fair mar beauty bright shone heaven light bridal day long sweet thames run softly till end song eftsoons nymph flower fill ran haste see silver brood came floating crystal flood saw stood amazed still wondering eye fill seemed never saw sight fair fowl lovely sure deem heavenly born pair sky draw venus silver team sure seem begot earthly seed rather angel angel breed yet bred somersheat say sweetest season flower weed earth fresh array fresh seemed day even bridal day long sweet thames run softly till end song forth basket drew great store flower honour field sense fragrant odour yield upon goodly bird threw wave strew like old peneus water seem along pleasant tempes shore scattered flower thessaly stream appear lily plenteous store like bride chamber floor two nymph meanwhile two garland bound freshest flower mead found presenting trim array snowy forehead therewithal crowned whilst one sing lay prepared day bridal day long sweet thames run softly till end song ye gentle bird world fair ornament heaven glory happy hour doth lead unto lover blissful bower joy may gentle heart content love complement let fair venus queen love heartquelling son upon smile whose smile say hath virtue remove love dislike friendship faulty guile ever assoil let endless peace steadfast heart accord blessed plenty wait upon board let bed pleasure chaste abound fruitful issue may afford may foe confound make joy redound upon bridal day long sweet thames run softly till end song ended rest around redoubled undersong said bridal day long gentle echo neighbour ground accent resound forth joyous bird pas along adown lee murmured low would speak lacked tongue yet sign glad affection show making stream run slow fowl flood dwell gan flock twain excel rest far cynthia doth shend lesser star enranged well two attend best service lend wedding day long sweet thames run softly till end song length merry london came merry london kindly nurse gave life first native source though another place take name house ancient fame came whereas bricky tower thames broad aged back ride studious lawyer bower whilom wont templar knight bide till decayed pride next whereunto stand stately place oft gained gift goodly grace great lord therein wont dwell whose want well feel friendless case ah fit well old woe joy tell bridal day long sweet thames run softly till end song yet therein doth lodge noble peer great england glory world wide wonder whose dreadful name late spain thunder hercules two pillar standing near make quake fear fair branch honour flower chivalry fillest england thy triumph fame joy thou thy noble victory endless happiness thine name promiseth thy prowess victorious arm thy country may freed foreign harm great elisa glorious name may ring world filled thy wide alarm brave muse may sing age following upon bridal day long sweet thames run softly till end song high tower noble lord issuing like radiant hesper golden hair thocean billow hath bathed fair descended river open viewing great train ensuing rest goodly seen two gentle knight lovely face feature beseeming well bower queen gift wit ornament nature fit goodly stature like twin jove seemed sight deck baldric heaven bright two forth pacing river side received two fair bird love delight th appointed tide one make bride bridal day long sweet thames run softly till end song,Nature
61, thenot hobbinoll tell good hobbinoll garres thee greete hath wolfe thy tender lambes ytorne thy bagpype broke soundes sweete art thou thy loved lasse forlorne bene thine eye attempred yeare quenching gasping furrowes thirst rayne like april shoure stremes trickling teares adowne thy cheeke quenche thy thristye payne hobbinoll thys muche doeth make mourne ladde whome long lovd deare nowe love lasse love doth scorne plongd payne tressed lock dooth teare shepheards delight dooth forsweare hys pleasaunt pipe whych made u meriment wylfully hath broke doth forbeare wonted song wherein outwent thenot ladde lament y love pinching payne prove hath skill make excellent yet hath little skill brydle love hobbinoll colin thou kenst southerne shepheardes boye love hath wounded deadly darte whilome care joye forcing gyfts winne wanton heart hys madding mynd starte woe widdowes daughter glenne nowe fayre rosalind hath bredde hys smart frend chaunged frenne thenot hys ditty bene trimly dight pray thee hobbinoll recorde one while flockes doe graze sight close shrowded thys shade alone hobbinoll contented singe laye fayre elisa queene shepheardes made spring laye tuned unto water fall ye dayntye nymph blessed brooke doe bathe brest forsake watry bowres hether looke request eke virgin parnasse dwell whence floweth helicon learned well helpe blaze worthy praise sexe doth excell fayre eliza silver song blessed wight flowre virgin may shee florish long princely plight shee syrinx daughter without spotte pan shepheards god begot sprong grace heavenly race mortall blemishe may blotte see sits upon grassie greene seemely sight yclad scarlot like mayden queene ermine white upon head cremosin coronet damaske rose daffadillies set bayleaves betweene primrose greene embellish sweete violet tell ye seene angelick face like phoebe fayre heavenly haveour princely grace well compare redde rose medled white yfere either cheeke depeincten lively chere modest eye majestie seene like sawe phoebus thrust golden hedde upon gaze sawe broade beames spredde amaze blusht see another sunne belowe ne durst againe fyrye face showe let dare brightnesse compare overthrowe shewe thy selfe cynthia thy silver rayes abasht shee beames beauty displayes art thou dasht match latonaes seede follie great sorow niobe breede stone make dayly mone warning take heede pan may proud ever begot bellibone syrinx rejoyse ever lot beare one soone younglings cryen dam offer milkwhite lamb shee goddesse plaine shepherd swayne albee forswonck forswatt see calliope speede place goddesse shine mus trace violines bene bay braunches doe beare elisa hand weare sweetely play sing way heaven heare lo finely grace foote instrument dauncen deffly singen soote meriment want fourth grace make daunce even let rowme lady yeven shalbe grace fyll fourth place reigne rest heaven whither rennes bevie lady bright raunged rowe bene ladyes lake behight unto goe chloris chiefest nymph al olive braunches beares coronall olive bene peace war doe surcease princesse bene principall ye shepheards daughter dwell greene hye apace let none come virgin bene adorne grace come whereas shee place see rudeness doe disgrace binde fillet faste gird waste finesse tawdrie lace bring hether pincke purple cullambine gelliflowres bring coronation sop wine worne paramoures strowe ground daffadowndillies cowslip kingcup loved lillie pretie pawnce chevisaunce shall match fayre flowre delice ryse elisa decked thou art royall aray ye daintie damsells may depart echeone way feare troubled troupe longe let dame eliza thanke song come hether damsines gether part among thenot thilk song colins owne making ah foolish boy love yblent great pittie taking naught caren bene lewdly bent hobbinoll sicker hold greater fon love thing can not purchase let u homeward night draweth twincling starres daylight hence chase thenots embleme quam te memorem virgo hobbinolls embleme dea certe,Nature
